state,x,y
Andaman and Nicobar Islands,144.0,-142.0
Andhra Pradesh,-58.0,-124.0
Arunachal Pradesh,184.0,105.0
Assam,157.0,66.0
Bihar,56.0,56.0
Chandigarh,-79.0,139.0
Chhattisgarh,-8.0,-18.0
Dadra Nagar Haveli and Daman Diu,-152.0,-39.0
Goa,-137.0,-121.0
Gujarat,-177.0,1.0
Haryana,-92.0,111.0
Himachal Pradesh,-72.0,160.0
Jammu and Kashmir,-102.0,197.0
Jharkhand,40.0,19.0
Karnataka,-113.0,-131.0
Kerala,-103.0,-206.0
Lakshadweep,-176.0,-184.0
Ladakh,-52.0,206.0
Madhya Pradesh,-69.0,8.0
Maharashtra,-117.0,-58.0
Manipur,171.0,39.0
Meghalaya,130.0,52.0
Mizoram,160.0,17.0
Nagaland,182.0,65.0
Delhi,-77.0,103.0
Odisha,36.0,-36.0
Puducherry,-48.0,-179.0
Punjab,-108.0,151.0
Rajasthan,-132.0,72.0
Sikkim,95.0,81.0
Tamil Nadu,-72.0,-196.0
Telangana,-54.0,-82.0
Tripura,140.0,19.0
Uttar Pradesh,-28.0,77.0
Uttarakhand,-46.0,129.0
West Bengal,80.0,10.0








